NAME,EMAIL,GENDER,Area,latitude,longitude,,Art-Watercolor Painting,Art-Pastel Painting,Art-Pencil Drawing,Art-Charcoal Drawing,Art-Ink Illustration,Art-Woodcut Printing,Art-Linocut Printing,Art-Etching,Art-Calligraphy,Art-Ceramics,Art-Textile Arts,,Music-Bollywood,Music-Devotional,Music-Indian Classical,Music-Hindustani,Music-Carnatic,Music-Regional Music,Music-Punjabi,Music-Tamil,Music-Telugu,Music-Bengali,Music-Marathi,Music-Kannada,Music-Gujarati,Music-Pop,Music-Hip-Hop and Rap,Music-Electronic,Music-Folk,Music-Sufi and Ghazal,Music-Classical Fusion,Music-New Releases,Music-Bollywood Classics,Music-Mood-Based Playlists,Music-Artist Radio
Neysa Sidhu,neysasidhu@gmail.com,Male,Koramangala,12.94554507,77.66663224,,0,0,0,0,0,0,0,0,0,0,0,,-0.826819743,-0.913830701,-1.171511781,-0.842883349,-1.436086304,-0.551214423,-0.045398334,-0.248445404,-0.42127816,-1.021361639,-0.941493491,0.235489084,-1.058198917,-1.587017428,0.57148387,-1.558321974,-1.521014559,-1.222513531,-0.876569535,-0.488633803,-0.750802328,-1.185728921,-1.44117195
Aniruddh Gulati,aniruddhgulati@yahoo.com,Female,Koramangala,12.93678095,77.63921392,,0,0,0,0,0,0,0,0,0,0,0,,0.083622118,0.585752247,-0.832700494,0.652154317,-0.168767412,0.669052503,1.579471423,-0.122495859,0.521829975,-0.381001661,0.544110181,-0.249973042,0.112704527,-0.289306806,0.642270645,0.247093258,0.557564484,0.258620066,0.368177408,0.847945459,0.551616264,0.656378281,0.928006153
Raghav Manda,raghavmanda@gmail.com,Female,JP Nagar,12.89728154,77.58707022,,0,0,0,0,0,0,0,0,0,0,0,,0.142264751,-1.953250652,-1.866319469,-1.712524422,-1.459002319,-0.638515349,-0.043294773,0.488903164,-0.80238051,1.052014065,1.010080733,-1.005099009,-0.696215608,1.062824897,0.789575892,0.10227234,-0.767882326,-1.456606295,-0.76961444,0.082404977,-0.208728419,-1.919547771,-1.028423663
Kimaya Agate,kimayaagate@outlook.com,Female,Krishnarajapura,12.99993914,77.66334508,,0,0,0,0,0,0,0,0,0,0,0,,0.23598936,0.674653032,0.508390913,0.413734549,1.233435304,1.213127526,1.393149858,1.375034636,1.169125086,1.201424033,0.301440255,2.001675422,0.606079445,-0.231783887,0.611332289,1.317020694,1.832004092,1.288660402,1.099394972,0.888124088,0.852103733,2.103126244,1.518194365
Aayush Bath,aayushbath@gmail.com,Female,Koramangala,12.95197667,77.62909968,,0,0,0,0,0,0,0,0,0,0,0,,0.773557415,0.81688033,0.420962553,0.22338614,0.743936763,0.727034019,-0.140429992,0.672765463,1.001054855,0.291107568,0.767923439,0.225291252,0.543152919,0.733070806,0.171065083,1.365610727,0.67272867,0.945896486,0.319092208,1.604723427,1.104084778,1.009919595,0.19518271
Pranay Soman,pranaysoman@gmail.com,Male,Koramangala,12.93768054,77.63696934,,0,0,0,0,0,0,0,0,0,0,0,,-0.601164094,-1.230881472,-3.333815997,-2.635977225,-1.022314333,-0.781209321,-0.336236686,0.52037854,-0.481449552,-0.99724351,-0.576778512,0.129674745,-0.460691368,-0.405182788,-0.940106995,-0.484330513,-2.083467529,-0.901780304,-1.282779526,0.035841539,-1.370300784,-2.002251733,-1.128864118
Misha Char,mishachar@gmail.com,Female,HSR Layout,12.92771057,77.63140423,,0,0,0,0,0,0,0,0,0,0,0,,-0.759921809,-0.061625552,0.837879506,0.128477595,0.441067719,0.061686467,-0.90870783,1.429840606,0.36139352,-0.772825807,-0.958789381,-1.227891855,-0.226369589,0.164418257,0.854246142,1.189081551,0.214535496,-0.874175942,-0.295794674,-0.117925249,-0.593958077,-0.261674082,-1.132590091
Prisha Tank,prishatank@yahoo.com,Male,Koramangala,12.95558535,77.68615529,,0,0,0,0,0,0,0,0,0,0,0,,-0.247369248,-0.133486312,-0.193836982,0.078250279,-0.065395769,-0.626322797,0.522461438,-0.846821329,-0.68441231,-1.080094324,-0.347227756,-0.394919905,-0.805424701,-1.411277401,-0.03537511,-0.904873718,-0.666859966,-0.428681981,-0.789663281,0.182636454,0.058490869,-0.247077784,-0.627494294
Shray Sheth,shraysheth@gmail.com,Female,Koramangala,12.93994356,77.63683097,,0,0,0,0,0,0,0,0,0,0,0,,0.369115389,0.34194218,1.229463894,0.476641664,1.645455272,1.369567074,0.211342604,2.388747311,2.941809204,0.283782864,-0.80943573,2.232745237,2.12580192,2.466349167,2.568256826,2.112759571,0.807763654,1.08937825,1.474524143,1.92347426,1.842071249,1.316576507,2.074875222
Yuvraj  Kale,yuvrajkale@gmail.com,Female,JP Nagar,12.8861934,77.54003457,,0,0,0,0,0,0,0,0,0,0,0,,-1.848665624,-1.280582903,-2.360703058,-0.493277047,-0.936334159,0.275023448,-1.075926846,-0.582534764,0.399779641,1.087761512,0.399405951,-0.932898143,-0.098256991,0.090780868,1.303146874,0.210098437,-1.10272312,-1.019239589,-1.633030835,0.289486559,0.003967366,-1.635709591,-0.99399157
