ADDRESS,CITY,PINCODE,TIER,NAME,EMAIL,GENDER,OCCUPATION
"Kurian Road, Jaipur, 26917581",Jaipur,26917581,Tier 2,Heer Chaudry,heerchaudry@outlook.com,Male,Salaried
"Bhatti Marg, Nagpur, 21147908",Nagpur,21147908,Tier 2,Alisha Bumb,alishabumb@gmail.com,Male,Student
"Kothari, Ghaziabad, 28677741",Ghaziabad,28677741,Tier 2,Riaan Vala,riaanvala@gmail.com,Male,Student
"Vohra Road, Mumbai, 18977282",Mumbai,18977282,Tier 1,Azad Maharaj,azadmaharaj@gmail.com,Male,Salaried
"Saran Street, Bikaner, 28017331",Bikaner,28017331,Tier 3,Vihaan Walla,vihaanwalla@yahoo.com,Male,Self Employed
"Chawla Nagar, Kochi, 9967624",Kochi,9967624,Tier 2,Diya Wadhwa,diyawadhwa@gmail.com,Male,Student
"De Path, Lucknow, 26838093",Lucknow,26838093,Tier 2,Pari Gulati,parigulati@gmail.com,Male,Student
"Saha Zila, Kochi, 9967624",Kochi,9967624,Tier 2,Shanaya Chandra,shanayachandra@gmail.com,Male,Self Employed
"Kamdar Nagar, Kolkata, 22578836",Kolkata,22578836,Tier 1,Madhav Gola,madhavgola@outlook.com,Male,Student
"Edwin Road, Pune, 18527385",Pune,18527385,Tier 1,Ishita Singh,ishitasingh@gmail.com,Male,Self Employed
"Sem, Hosur, 12737783",Hosur,12737783,Tier 3,Lakshay Mall,lakshaymall@gmail.com,Male,Student
"Gandhi Ganj, Bangalore, 12977759",Bangalore,12977759,Tier 1,Eva Dubey,evadubey@yahoo.com,Male,Student
"Sridhar Marg, Mumbai, 18977282",Mumbai,18977282,Tier 1,Seher Kota,seherkota@gmail.com,Male,Salaried
"Rege Street, Hyderabad, 17367847",Hyderabad,17367847,Tier 1,Jiya Gade,jiyagade@gmail.com,Male,Salaried
"Dash Zila, Delhi, 28627717",Delhi,28627717,Tier 1,Vanya Saha,vanyasaha@yahoo.com,Male,Student
"Sidhu Path, Kolkata, 22578836",Kolkata,22578836,Tier 1,Aarav Shanker,aaravshanker@gmail.com,Male,Student
"Kant Chowk, Pune, 18527385",Pune,18527385,Tier 1,Vaibhav Date,vaibhavdate@gmail.com,Male,Salaried
"Sankar Street, Surat, 21207283",Surat,21207283,Tier 2,Neelofar Mann,neelofarmann@gmail.com,Male,Salaried
"Kala Path, Vijaywada, 16518063",Vijaywada,16518063,Tier 3,Dhanuk Mangat,dhanukmangat@gmail.com,Male,Student
